Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	BioSampleModel	Bytes	Center Name	Collection_date	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	Host	Instrument	Isolation_Source	Lat_Lon	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	source_material_ID	SRA Study	id	type	type2
SRR10397275	AMPLICON	290	43431762	PRJNA580257	SAMN13207797	Metagenome or environmental	14836827	TEXAS A&M UNIVERSITY	5/11/18	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX7097642	USA	North America	USA: Kentucky	Equus caballus	Illumina MiSeq	feces	37.668140 N 84.670067 W	Horse.48.Normals	SINGLE	PCR	METAGENOMIC	gut metagenome	ILLUMINA	2019-11-20T00:00:00Z	Horse.48.Normals	Horse.48.Normals	SRP228480	48	Normals	
SRR10397276	AMPLICON	290	30471250	PRJNA580257	SAMN13207796	Metagenome or environmental	10448116	TEXAS A&M UNIVERSITY	6/23/18	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX7097641	USA	North America	USA: Nevada	Equus caballus	Illumina MiSeq	feces	38.313515 N 117.055374 W	Horse.47.Normals	SINGLE	PCR	METAGENOMIC	gut metagenome	ILLUMINA	2019-11-20T00:00:00Z	Horse.47.Normals	Horse.47.Normals	SRP228480	47	Normals	
SRR10397277	AMPLICON	290	43763881	PRJNA580257	SAMN13207795	Metagenome or environmental	14977076	TEXAS A&M UNIVERSITY	6/26/18	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX7097640	USA	North America	USA: Nevada	Equus caballus	Illumina MiSeq	feces	38.313515 N 117.055374 W	Horse.46.Normals	SINGLE	PCR	METAGENOMIC	gut metagenome	ILLUMINA	2019-11-20T00:00:00Z	Horse.46.Normals	Horse.46.Normals	SRP228480	46	Normals	
SRR10397278	AMPLICON	290	38633223	PRJNA580257	SAMN13207794	Metagenome or environmental	13273344	TEXAS A&M UNIVERSITY	3/23/18	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX7097639	USA	North America	USA: Montana	Equus caballus	Illumina MiSeq	feces	46.921925 N 110.454353 W	Horse.45.Normals	SINGLE	PCR	METAGENOMIC	gut metagenome	ILLUMINA	2019-11-20T00:00:00Z	Horse.45.Normals	Horse.45.Normals	SRP228480	45	Normals	
SRR10397279	AMPLICON	289	39132232	PRJNA580257	SAMN13207793	Metagenome or environmental	13402339	TEXAS A&M UNIVERSITY	4/12/18	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX7097638	USA	North America	USA: North Carolina	Equus caballus	Illumina MiSeq	feces	35.630066 N 79.806419 W	Horse.44.Normals	SINGLE	PCR	METAGENOMIC	gut metagenome	ILLUMINA	2019-11-20T00:00:00Z	Horse.44.Normals	Horse.44.Normals	SRP228480	44	Normals	
SRR10397280	AMPLICON	289	31288090	PRJNA580257	SAMN13207792	Metagenome or environmental	10696867	TEXAS A&M UNIVERSITY	6/25/18	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX7097637	USA	North America	USA: Nevada	Equus caballus	Illumina MiSeq	feces	38.313515 N 117.055374 W	Horse.43.Normals	SINGLE	PCR	METAGENOMIC	gut metagenome	ILLUMINA	2019-11-20T00:00:00Z	Horse.43.Normals	Horse.43.Normals	SRP228480	43	Normals	
SRR10397281	AMPLICON	289	32925219	PRJNA580257	SAMN13207791	Metagenome or environmental	11287268	TEXAS A&M UNIVERSITY	4/11/18	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX7097636	USA	North America	USA: California	Equus caballus	Illumina MiSeq	feces	36.116203 N 119.681564 W	Horse.42.Normals	SINGLE	PCR	METAGENOMIC	gut metagenome	ILLUMINA	2019-11-20T00:00:00Z	Horse.42.Normals	Horse.42.Normals	SRP228480	42	Normals	
SRR10397282	AMPLICON	289	34142189	PRJNA580257	SAMN13207790	Metagenome or environmental	11615290	TEXAS A&M UNIVERSITY	4/12/18	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX7097635	USA	North America	USA: North Carolina	Equus caballus	Illumina MiSeq	feces	35.630066 N 79.806419 W	Horse.41.Normals	SINGLE	PCR	METAGENOMIC	gut metagenome	ILLUMINA	2019-11-20T00:00:00Z	Horse.41.Normals	Horse.41.Normals	SRP228480	41	Normals	
SRR10397283	AMPLICON	290	37506556	PRJNA580257	SAMN13207789	Metagenome or environmental	12815286	TEXAS A&M UNIVERSITY	5/7/18	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX7097634	USA	North America	USA: Virginia	Equus caballus	Illumina MiSeq	feces	37.769337 N 78.169968 W	Horse.40.Normals	SINGLE	PCR	METAGENOMIC	gut metagenome	ILLUMINA	2019-11-20T00:00:00Z	Horse.40.Normals	Horse.40.Normals	SRP228480	40	Normals	
SRR10397284	AMPLICON	289	34845834	PRJNA580257	SAMN13207735	Metagenome or environmental	12033189	TEXAS A&M UNIVERSITY	5/20/17	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX7097633	USA	North America	USA: Texas	Equus caballus	Illumina MiSeq	feces	31.054487 N 97.563461 W	Horse.106.Colitis.AAD	SINGLE	PCR	METAGENOMIC	gut metagenome	ILLUMINA	2019-11-20T00:00:00Z	Horse.106.Colitis.AAD	Horse.106.Colitis.AAD	SRP228480	106	Colitis	AAD
