Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	BioSampleModel	Bytes	Center Name	collection_date	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	Host	Instrument	isolation_source	lat_lon	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	participant_id	Platform	ReleaseDate	Sample Name	SRA Study	variable_region
SRR13985624	AMPLICON	499	14224764	PRJNA715083	SAMN18326419	Metagenome or environmental	8586030	CYKINSO INC	8/12/15	public	"sra	fastq"	"ncbi	s3	gs"	"gs.US	s3.us-east-1	ncbi.public"	SRX10363445	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0190_V1V2	PAIRED	PCR	METAGENOMIC	gut metagenome	190	ILLUMINA	2021-05-01T00:00:00Z	0190_V1V2	SRP311006	V1V2
SRR13985625	AMPLICON	499	16220729	PRJNA715083	SAMN18326418	Metagenome or environmental	9262923	CYKINSO INC	8/12/15	public	"sra	fastq"	"gs	ncbi	s3"	"s3.us-east-1	ncbi.public	gs.US"	SRX10363444	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0189_V1V2	PAIRED	PCR	METAGENOMIC	gut metagenome	189	ILLUMINA	2021-05-01T00:00:00Z	0189_V1V2	SRP311006	V1V2
SRR13985633	AMPLICON	498	15165130	PRJNA715083	SAMN18326410	Metagenome or environmental	10451325	CYKINSO INC	8/19/15	public	"fastq	sra"	"s3	gs	ncbi"	"ncbi.public	gs.US	s3.us-east-1"	SRX10363436	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0181_V1V2	PAIRED	PCR	METAGENOMIC	gut metagenome	181	ILLUMINA	2021-05-01T00:00:00Z	0181_V1V2	SRP311006	V1V2
SRR13985646	AMPLICON	499	13854694	PRJNA715083	SAMN18326247	Metagenome or environmental	7876753	CYKINSO INC	9/10/15	public	"fastq	sra"	"gs	ncbi	s3"	"ncbi.public	s3.us-east-1	gs.US"	SRX10363424	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0018_V1V2	PAIRED	PCR	METAGENOMIC	gut metagenome	18	ILLUMINA	2021-05-01T00:00:00Z	0018_V1V2	SRP311006	V1V2
SRR13985681	AMPLICON	498	17044461	PRJNA715083	SAMN18326260	Metagenome or environmental	9915304	CYKINSO INC	8/8/16	public	"fastq	sra"	"ncbi	s3	gs"	"s3.us-east-1	ncbi.public	gs.US"	SRX10363389	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0031_V1V2	PAIRED	PCR	METAGENOMIC	gut metagenome	31	ILLUMINA	2021-05-01T00:00:00Z	0031_V1V2	SRP311006	V1V2
SRR13985709	AMPLICON	499	16944361	PRJNA715083	SAMN18326264	Metagenome or environmental	9771192	CYKINSO INC	8/12/16	public	"fastq	sra"	"gs	ncbi	s3"	"ncbi.public	s3.us-east-1	gs.US"	SRX10363361	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0035_V1V2	PAIRED	PCR	METAGENOMIC	gut metagenome	35	ILLUMINA	2021-05-01T00:00:00Z	0035_V1V2	SRP311006	V1V2
SRR13985728	AMPLICON	499	17425600	PRJNA715083	SAMN18326390	Metagenome or environmental	9974424	CYKINSO INC	8/15/16	public	"fastq	sra"	"ncbi	gs	s3"	"gs.US	s3.us-east-1	ncbi.public"	SRX10363342	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0161_V1V2	PAIRED	PCR	METAGENOMIC	gut metagenome	161	ILLUMINA	2021-05-01T00:00:00Z	0161_V1V2	SRP311006	V1V2
SRR13985739	AMPLICON	498	15385563	PRJNA715083	SAMN18326380	Metagenome or environmental	9092529	CYKINSO INC	8/13/15	public	"fastq	sra"	"s3	ncbi	gs"	"ncbi.public	gs.US	s3.us-east-1"	SRX10363331	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0151_V1V2	PAIRED	PCR	METAGENOMIC	gut metagenome	151	ILLUMINA	2021-05-01T00:00:00Z	0151_V1V2	SRP311006	V1V2
SRR13985743	AMPLICON	498	13601151	PRJNA715083	SAMN18326377	Metagenome or environmental	8037729	CYKINSO INC	8/3/15	public	"sra	fastq"	"s3	gs	ncbi"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363327	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0148_V1V2	PAIRED	PCR	METAGENOMIC	gut metagenome	148	ILLUMINA	2021-05-01T00:00:00Z	0148_V1V2	SRP311006	V1V2
SRR13985751	AMPLICON	499	17198207	PRJNA715083	SAMN18326244	Metagenome or environmental	9905860	CYKINSO INC	7/11/16	public	"sra	fastq"	"s3	gs	ncbi"	"s3.us-east-1	gs.US	ncbi.public"	SRX10363319	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0015_V1V2	PAIRED	PCR	METAGENOMIC	gut metagenome	15	ILLUMINA	2021-05-01T00:00:00Z	0015_V1V2	SRP311006	V1V2
