#SampleID	Altitude	Assay_Type	AvgSpotLen	BioSample	Experiment	LibrarySelection	LibrarySource	Library_Name	primer	LoadDate	MBases	MBytes	Organism	ReleaseDate	Run	SRA_Sample	Sample_Name	collection_date	datenum	geo_loc_name	lat_lon	replicate	primer2	samp_collect_device	samp_mat_process	BioProject	BioSampleModel	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	Platform	SRA_Study	isolation_source	rel_to_oxygen
SRR6130697		AMPLICON	598	SAMN07732225	SRX3243098	PCR	OTHER	V34_Even_D	V34	10/4/17	8	5	seawater metagenome	10/4/17	SRR6130697	SRS2566079	V34_Even_D	not applicable	not applicable	not applicable	not applicable		V34		16S clones amplified with various 16S amplicon primers and sequenced on an Illumina MiSeq using Nextera indexes	PRJNA412105	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	ILLUMINA	SRP118880	seawater	
SRR6130698		AMPLICON	598	SAMN07732224	SRX3243097	PCR	OTHER	V34_Even_C	V34	10/4/17	10	6	seawater metagenome	10/4/17	SRR6130698	SRS2566078	V34_Even_C	not applicable	not applicable	not applicable	not applicable		V34		16S clones amplified with various 16S amplicon primers and sequenced on an Illumina MiSeq using Nextera indexes	PRJNA412105	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	ILLUMINA	SRP118880	seawater	
SRR6130701		AMPLICON	598	SAMN07732223	SRX3243094	PCR	OTHER	V34_Even_B	V34	10/4/17	10	6	seawater metagenome	10/4/17	SRR6130701	SRS2566075	V34_Even_B	not applicable	not applicable	not applicable	not applicable		V34		16S clones amplified with various 16S amplicon primers and sequenced on an Illumina MiSeq using Nextera indexes	PRJNA412105	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	ILLUMINA	SRP118880	seawater	
SRR6130702		AMPLICON	598	SAMN07732222	SRX3243093	PCR	OTHER	V34_Even_A	V34	10/4/17	6	4	seawater metagenome	10/4/17	SRR6130702	SRS2566074	V34_Even_A	not applicable	not applicable	not applicable	not applicable		V34		16S clones amplified with various 16S amplicon primers and sequenced on an Illumina MiSeq using Nextera indexes	PRJNA412105	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	ILLUMINA	SRP118880	seawater	
SRR6130719		AMPLICON	598	SAMN07732226	SRX3243076	PCR	OTHER	V34_Bloom_A	V34	10/4/17	6	4	seawater metagenome	10/4/17	SRR6130719	SRS2566059	V34_Bloom_A	not applicable	not applicable	not applicable	not applicable		V34		16S clones amplified with various 16S amplicon primers and sequenced on an Illumina MiSeq using Nextera indexes	PRJNA412105	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	ILLUMINA	SRP118880	seawater	
SRR6130720		AMPLICON	598	SAMN07732227	SRX3243075	PCR	OTHER	V34_Bloom_B	V34	10/4/17	19	11	seawater metagenome	10/4/17	SRR6130720	SRS2566056	V34_Bloom_B	not applicable	not applicable	not applicable	not applicable		V34		16S clones amplified with various 16S amplicon primers and sequenced on an Illumina MiSeq using Nextera indexes	PRJNA412105	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	ILLUMINA	SRP118880	seawater	
SRR6130721		AMPLICON	598	SAMN07732228	SRX3243074	PCR	OTHER	V34_Bloom_C	V34	10/4/17	7	4	seawater metagenome	10/4/17	SRR6130721	SRS2566057	V34_Bloom_C	not applicable	not applicable	not applicable	not applicable		V34		16S clones amplified with various 16S amplicon primers and sequenced on an Illumina MiSeq using Nextera indexes	PRJNA412105	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	ILLUMINA	SRP118880	seawater	
SRR6130722		AMPLICON	598	SAMN07732229	SRX3243073	PCR	OTHER	V34_Bloom_D	V34	10/4/17	8	5	seawater metagenome	10/4/17	SRR6130722	SRS2566055	V34_Bloom_D	not applicable	not applicable	not applicable	not applicable		V34		16S clones amplified with various 16S amplicon primers and sequenced on an Illumina MiSeq using Nextera indexes	PRJNA412105	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	ILLUMINA	SRP118880	seawater	
SRR6130790	0	AMPLICON	598	SAMN07732618	SRX3243406	PCR	METAGENOMIC	3_0312_6S	3_0	10/4/17	10	6	seawater metagenome	10/4/17	SRR6130790	SRS2566386	3_0312_6S	13-Mar-12	40981	USA: California	34.1568 N 119.9502 W	primer replicate = V34	V34	CTD rosette	size fractionated (0.2-1.2 µm)	PRJNA412105	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	ILLUMINA	SRP118880	seawater	aerobe
SRR6130791	0	AMPLICON	598	SAMN07732619	SRX3243405	PCR	METAGENOMIC	3_0312_7S	3_0	10/4/17	12	7	seawater metagenome	10/4/17	SRR6130791	SRS2566389	3_0312_7S	13-Mar-12	40981	USA: California	34.0833 N 120.0333 W	primer replicate = V34	V34	CTD rosette	size fractionated (0.2-1.2 µm)	PRJNA412105	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	ILLUMINA	SRP118880	seawater	aerobe
