#SampleID	Altitude	Assay_Type	AvgSpotLen	BioSample	Experiment	LibrarySelection	LibrarySource	Library_Name	primer	LoadDate	MBases	MBytes	Organism	ReleaseDate	Run	SRA_Sample	Sample_Name	collection_date	datenum	geo_loc_name	lat_lon	replicate	primer2	samp_collect_device	samp_mat_process	BioProject	BioSampleModel	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	Platform	SRA_Study	isolation_source	rel_to_oxygen
SRR6130707		AMPLICON	598	SAMN07732237	SRX3243088	PCR	OTHER	V12_Bloom_D	V12	10/4/17	14	8	seawater metagenome	10/4/17	SRR6130707	SRS2566069	V12_Bloom_D	not applicable	not applicable	not applicable	not applicable		V12		16S clones amplified with various 16S amplicon primers and sequenced on an Illumina MiSeq using Nextera indexes	PRJNA412105	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	ILLUMINA	SRP118880	seawater	
SRR6130708		AMPLICON	598	SAMN07732236	SRX3243087	PCR	OTHER	V12_Bloom_C	V12	10/4/17	12	7	seawater metagenome	10/4/17	SRR6130708	SRS2566068	V12_Bloom_C	not applicable	not applicable	not applicable	not applicable		V12		16S clones amplified with various 16S amplicon primers and sequenced on an Illumina MiSeq using Nextera indexes	PRJNA412105	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	ILLUMINA	SRP118880	seawater	
SRR6130723		AMPLICON	598	SAMN07732230	SRX3243072	PCR	OTHER	V12_Even_A	V12	10/4/17	10	6	seawater metagenome	10/4/17	SRR6130723	SRS2566054	V12_Even_A	not applicable	not applicable	not applicable	not applicable		V12		16S clones amplified with various 16S amplicon primers and sequenced on an Illumina MiSeq using Nextera indexes	PRJNA412105	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	ILLUMINA	SRP118880	seawater	
SRR6130724		AMPLICON	598	SAMN07732231	SRX3243071	PCR	OTHER	V12_Even_B	V12	10/4/17	16	10	seawater metagenome	10/4/17	SRR6130724	SRS2566053	V12_Even_B	not applicable	not applicable	not applicable	not applicable		V12		16S clones amplified with various 16S amplicon primers and sequenced on an Illumina MiSeq using Nextera indexes	PRJNA412105	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	ILLUMINA	SRP118880	seawater	
SRR6130725		AMPLICON	598	SAMN07732232	SRX3243070	PCR	OTHER	V12_Even_C	V12	10/4/17	19	11	seawater metagenome	10/4/17	SRR6130725	SRS2566052	V12_Even_C	not applicable	not applicable	not applicable	not applicable		V12		16S clones amplified with various 16S amplicon primers and sequenced on an Illumina MiSeq using Nextera indexes	PRJNA412105	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	ILLUMINA	SRP118880	seawater	
SRR6130726		AMPLICON	598	SAMN07732233	SRX3243069	PCR	OTHER	V12_Even_D	V12	10/4/17	14	9	seawater metagenome	10/4/17	SRR6130726	SRS2566051	V12_Even_D	not applicable	not applicable	not applicable	not applicable		V12		16S clones amplified with various 16S amplicon primers and sequenced on an Illumina MiSeq using Nextera indexes	PRJNA412105	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	ILLUMINA	SRP118880	seawater	
SRR6130727		AMPLICON	598	SAMN07732234	SRX3243068	PCR	OTHER	V12_Bloom_A	V12	10/4/17	22	13	seawater metagenome	10/4/17	SRR6130727	SRS2566050	V12_Bloom_A	not applicable	not applicable	not applicable	not applicable		V12		16S clones amplified with various 16S amplicon primers and sequenced on an Illumina MiSeq using Nextera indexes	PRJNA412105	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	ILLUMINA	SRP118880	seawater	
SRR6130728		AMPLICON	598	SAMN07732235	SRX3243067	PCR	OTHER	V12_Bloom_B	V12	10/4/17	17	10	seawater metagenome	10/4/17	SRR6130728	SRS2566048	V12_Bloom_B	not applicable	not applicable	not applicable	not applicable		V12		16S clones amplified with various 16S amplicon primers and sequenced on an Illumina MiSeq using Nextera indexes	PRJNA412105	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	ILLUMINA	SRP118880	seawater	
SRR6130780	-300	AMPLICON	598	SAMN07732725	SRX3243416	PCR	METAGENOMIC	4_0514_4_300	4_0	10/4/17	9	5	seawater metagenome	10/4/17	SRR6130780	SRS2566396	4_0514_4_300	15-May-14	41774	USA: California	34.2502 N 119.9063 W	primer replicate = V12	V12	CTD rosette	size fractionated (0.2-1.2 µm)	PRJNA412105	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	ILLUMINA	SRP118880	seawater	aerobe
SRR6130781	-150	AMPLICON	598	SAMN07732724	SRX3243415	PCR	METAGENOMIC	4_0514_4_150	4_0	10/4/17	10	6	seawater metagenome	10/4/17	SRR6130781	SRS2566392	4_0514_4_150	15-May-14	41774	USA: California	34.2502 N 119.9063 W	primer replicate = V12	V12	CTD rosette	size fractionated (0.2-1.2 µm)	PRJNA412105	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	ILLUMINA	SRP118880	seawater	aerobe
SRR6130782	0	AMPLICON	598	SAMN07732717	SRX3243414	PCR	METAGENOMIC	4_0514_1S	4_0	10/4/17	11	6	seawater metagenome	10/4/17	SRR6130782	SRS2566397	4_0514_1S	15-May-14	41774	USA: California	34.3902 N 119.8407 W	primer replicate = V12	V12	CTD rosette	size fractionated (0.2-1.2 µm)	PRJNA412105	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	ILLUMINA	SRP118880	seawater	aerobe
SRR6130783	0	AMPLICON	598	SAMN07732716	SRX3243413	PCR	METAGENOMIC	4_0512_6S	4_0	10/4/17	22	13	seawater metagenome	10/4/17	SRR6130783	SRS2566395	4_0512_6S	15-May-12	41044	USA: California	34.1568 N 119.9502 W	primer replicate = V12	V12	CTD rosette	size fractionated (0.2-1.2 µm)	PRJNA412105	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	ILLUMINA	SRP118880	seawater	aerobe
SRR6130784	0	AMPLICON	598	SAMN07732719	SRX3243412	PCR	METAGENOMIC	4_0514_2S	4_0	10/4/17	17	10	seawater metagenome	10/4/17	SRR6130784	SRS2566394	4_0514_2S	15-May-14	41774	USA: California	34.3435 N 119.8627 W	primer replicate = V12	V12	CTD rosette	size fractionated (0.2-1.2 µm)	PRJNA412105	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	ILLUMINA	SRP118880	seawater	aerobe
SRR6130785	-75	AMPLICON	598	SAMN07732718	SRX3243411	PCR	METAGENOMIC	4_0514_2_75	4_0	10/4/17	15	9	seawater metagenome	10/4/17	SRR6130785	SRS2566391	4_0514_2_75	15-May-14	41774	USA: California	34.3435 N 119.8627 W	primer replicate = V12	V12	CTD rosette	size fractionated (0.2-1.2 µm)	PRJNA412105	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	ILLUMINA	SRP118880	seawater	aerobe
SRR6130786	0	AMPLICON	598	SAMN07732721	SRX3243410	PCR	METAGENOMIC	4_0514_3S	4_0	10/4/17	19	12	seawater metagenome	10/4/17	SRR6130786	SRS2566393	4_0514_3S	15-May-14	41774	USA: California	34.2968 N 119.8845 W	primer replicate = V12	V12	CTD rosette	size fractionated (0.2-1.2 µm)	PRJNA412105	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	ILLUMINA	SRP118880	seawater	aerobe
SRR6130787	-75	AMPLICON	598	SAMN07732720	SRX3243409	PCR	METAGENOMIC	4_0514_3_75	4_0	10/4/17	15	9	seawater metagenome	10/4/17	SRR6130787	SRS2566390	4_0514_3_75	15-May-14	41774	USA: California	34.2968 N 119.8845 W	primer replicate = V12	V12	CTD rosette	size fractionated (0.2-1.2 µm)	PRJNA412105	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	ILLUMINA	SRP118880	seawater	aerobe
SRR6130788	-75	AMPLICON	598	SAMN07732723	SRX3243408	PCR	METAGENOMIC	4_0514_4_75	4_0	10/4/17	15	9	seawater metagenome	10/4/17	SRR6130788	SRS2566388	4_0514_4_75	15-May-14	41774	USA: California	34.2502 N 119.9063 W	primer replicate = V12	V12	CTD rosette	size fractionated (0.2-1.2 µm)	PRJNA412105	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	ILLUMINA	SRP118880	seawater	aerobe
SRR6130789	-30	AMPLICON	598	SAMN07732722	SRX3243407	PCR	METAGENOMIC	4_0514_4_30	4_0	10/4/17	21	13	seawater metagenome	10/4/17	SRR6130789	SRS2566384	4_0514_4_30	15-May-14	41774	USA: California	34.2502 N 119.9063 W	primer replicate = V12	V12	CTD rosette	size fractionated (0.2-1.2 µm)	PRJNA412105	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	ILLUMINA	SRP118880	seawater	aerobe
SRR6130831	0	AMPLICON	598	SAMN07732715	SRX3243365	PCR	METAGENOMIC	4_0512_4S	4_0	10/4/17	16	9	seawater metagenome	10/4/17	SRR6130831	SRS2566347	4_0512_4S	15-May-12	41044	USA: California	34.2502 N 119.9063 W	primer replicate = V12	V12	CTD rosette	size fractionated (0.2-1.2 µm)	PRJNA412105	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	ILLUMINA	SRP118880	seawater	aerobe
SRR6130844	0	AMPLICON	598	SAMN07732751	SRX3243352	PCR	METAGENOMIC	4_0912_3S	4_0	10/4/17	30	17	seawater metagenome	10/4/17	SRR6130844	SRS2566330	4_0912_3S	13-Sep-12	41165	USA: California	34.2968 N 119.8845 W	primer replicate = V12	V12	CTD rosette	size fractionated (0.2-1.2 µm)	PRJNA412105	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	ILLUMINA	SRP118880	seawater	aerobe
SRR6130845	-75	AMPLICON	598	SAMN07732750	SRX3243351	PCR	METAGENOMIC	4_0912_3_75	4_0	10/4/17	40	23	seawater metagenome	10/4/17	SRR6130845	SRS2566331	4_0912_3_75	13-Sep-12	41165	USA: California	34.2968 N 119.8845 W	primer replicate = V12	V12	CTD rosette	size fractionated (0.2-1.2 µm)	PRJNA412105	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	ILLUMINA	SRP118880	seawater	aerobe
SRR6130846	-75	AMPLICON	598	SAMN07732753	SRX3243350	PCR	METAGENOMIC	4_0912_4_75	4_0	10/4/17	40	23	seawater metagenome	10/4/17	SRR6130846	SRS2566333	4_0912_4_75	13-Sep-12	41165	USA: California	34.2502 N 119.9063 W	primer replicate = V12	V12	CTD rosette	size fractionated (0.2-1.2 µm)	PRJNA412105	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	ILLUMINA	SRP118880	seawater	aerobe
SRR6130847	-30	AMPLICON	598	SAMN07732752	SRX3243349	PCR	METAGENOMIC	4_0912_4_30	4_0	10/4/17	25	14	seawater metagenome	10/4/17	SRR6130847	SRS2566332	4_0912_4_30	13-Sep-12	41165	USA: California	34.2502 N 119.9063 W	primer replicate = V12	V12	CTD rosette	size fractionated (0.2-1.2 µm)	PRJNA412105	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	ILLUMINA	SRP118880	seawater	aerobe
SRR6130848	0	AMPLICON	598	SAMN07732747	SRX3243348	PCR	METAGENOMIC	4_0912_1S	4_0	10/4/17	29	17	seawater metagenome	10/4/17	SRR6130848	SRS2566329	4_0912_1S	13-Sep-12	41165	USA: California	34.3902 N 119.8407 W	primer replicate = V12	V12	CTD rosette	size fractionated (0.2-1.2 µm)	PRJNA412105	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	ILLUMINA	SRP118880	seawater	aerobe
SRR6130849	0	AMPLICON	598	SAMN07732746	SRX3243347	PCR	METAGENOMIC	4_0814_4S	4_0	10/4/17	39	23	seawater metagenome	10/4/17	SRR6130849	SRS2566328	4_0814_4S	22-Aug-14	41873	USA: California	34.2502 N 119.9063 W	primer replicate = V12	V12	CTD rosette	size fractionated (0.2-1.2 µm)	PRJNA412105	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	ILLUMINA	SRP118880	seawater	aerobe
SRR6130850	0	AMPLICON	598	SAMN07732749	SRX3243346	PCR	METAGENOMIC	4_0912_2S	4_0	10/4/17	34	20	seawater metagenome	10/4/17	SRR6130850	SRS2566327	4_0912_2S	13-Sep-12	41165	USA: California	34.3435 N 119.8627 W	primer replicate = V12	V12	CTD rosette	size fractionated (0.2-1.2 µm)	PRJNA412105	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	ILLUMINA	SRP118880	seawater	aerobe
SRR6130851	-75	AMPLICON	598	SAMN07732748	SRX3243345	PCR	METAGENOMIC	4_0912_2_75	4_0	10/4/17	37	21	seawater metagenome	10/4/17	SRR6130851	SRS2566326	4_0912_2_75	13-Sep-12	41165	USA: California	34.3435 N 119.8627 W	primer replicate = V12	V12	CTD rosette	size fractionated (0.2-1.2 µm)	PRJNA412105	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	ILLUMINA	SRP118880	seawater	aerobe
SRR6130852	-300	AMPLICON	598	SAMN07732755	SRX3243344	PCR	METAGENOMIC	4_0912_4_300	4_0	10/4/17	23	14	seawater metagenome	10/4/17	SRR6130852	SRS2566325	4_0912_4_300	13-Sep-12	41165	USA: California	34.2502 N 119.9063 W	primer replicate = V12	V12	CTD rosette	size fractionated (0.2-1.2 µm)	PRJNA412105	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	ILLUMINA	SRP118880	seawater	aerobe
SRR6130853	-150	AMPLICON	598	SAMN07732754	SRX3243343	PCR	METAGENOMIC	4_0912_4_150	4_0	10/4/17	26	16	seawater metagenome	10/4/17	SRR6130853	SRS2566324	4_0912_4_150	13-Sep-12	41165	USA: California	34.2502 N 119.9063 W	primer replicate = V12	V12	CTD rosette	size fractionated (0.2-1.2 µm)	PRJNA412105	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	ILLUMINA	SRP118880	seawater	aerobe
SRR6130864	0	AMPLICON	598	SAMN07732690	SRX3243332	PCR	METAGENOMIC	4_0212_6S	4_0	10/4/17	14	8	seawater metagenome	10/4/17	SRR6130864	SRS2566312	4_0212_6S	17-Feb-12	40956	USA: California	34.1568 N 119.9502 W	primer replicate = V12	V12	CTD rosette	size fractionated (0.2-1.2 µm)	PRJNA412105	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	ILLUMINA	SRP118880	seawater	aerobe
SRR6130865	0	AMPLICON	598	SAMN07732691	SRX3243331	PCR	METAGENOMIC	4_0214_4S	4_0	10/4/17	24	14	seawater metagenome	10/4/17	SRR6130865	SRS2566311	4_0214_4S	20-Feb-14	41690	USA: California	34.2502 N 119.9063 W	primer replicate = V12	V12	CTD rosette	size fractionated (0.2-1.2 µm)	PRJNA412105	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	ILLUMINA	SRP118880	seawater	aerobe
SRR6130866	0	AMPLICON	598	SAMN07732692	SRX3243330	PCR	METAGENOMIC	4_0312_1S	4_0	10/4/17	12	7	seawater metagenome	10/4/17	SRR6130866	SRS2566310	4_0312_1S	13-Mar-12	40981	USA: California	34.3902 N 119.8407 W	primer replicate = V12	V12	CTD rosette	size fractionated (0.2-1.2 µm)	PRJNA412105	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	ILLUMINA	SRP118880	seawater	aerobe
SRR6130867	-75	AMPLICON	598	SAMN07732693	SRX3243329	PCR	METAGENOMIC	4_0312_2_75	4_0	10/4/17	45	27	seawater metagenome	10/4/17	SRR6130867	SRS2566309	4_0312_2_75	13-Mar-12	40981	USA: California	34.3435 N 119.8627 W	primer replicate = V12	V12	CTD rosette	size fractionated (0.2-1.2 µm)	PRJNA412105	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	ILLUMINA	SRP118880	seawater	aerobe
SRR6130869	0	AMPLICON	598	SAMN07732687	SRX3243327	PCR	METAGENOMIC	4_0212_2S	4_0	10/4/17	17	10	seawater metagenome	10/4/17	SRR6130869	SRS2566307	4_0212_2S	17-Feb-12	40956	USA: California	34.3435 N 119.8627 W	primer replicate = V12	V12	CTD rosette	size fractionated (0.2-1.2 µm)	PRJNA412105	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	ILLUMINA	SRP118880	seawater	aerobe
SRR6130870	-75	AMPLICON	598	SAMN07732688	SRX3243326	PCR	METAGENOMIC	4_0212_4_75	4_0	10/4/17	21	12	seawater metagenome	10/4/17	SRR6130870	SRS2566306	4_0212_4_75	17-Feb-12	40956	USA: California	34.2502 N 119.9063 W	primer replicate = V12	V12	CTD rosette	size fractionated (0.2-1.2 µm)	PRJNA412105	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	ILLUMINA	SRP118880	seawater	aerobe
SRR6130871	0	AMPLICON	598	SAMN07732689	SRX3243325	PCR	METAGENOMIC	4_0212_4S	4_0	10/4/17	10	6	seawater metagenome	10/4/17	SRR6130871	SRS2566305	4_0212_4S	17-Feb-12	40956	USA: California	34.2502 N 119.9063 W	primer replicate = V12	V12	CTD rosette	size fractionated (0.2-1.2 µm)	PRJNA412105	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	ILLUMINA	SRP118880	seawater	aerobe
SRR6130872	0	AMPLICON	598	SAMN07732694	SRX3243324	PCR	METAGENOMIC	4_0312_2S	4_0	10/4/17	14	8	seawater metagenome	10/4/17	SRR6130872	SRS2566304	4_0312_2S	13-Mar-12	40981	USA: California	34.3435 N 119.8627 W	primer replicate = V12	V12	CTD rosette	size fractionated (0.2-1.2 µm)	PRJNA412105	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	ILLUMINA	SRP118880	seawater	aerobe
SRR6130873	-75	AMPLICON	598	SAMN07732695	SRX3243323	PCR	METAGENOMIC	4_0312_3_75	4_0	10/4/17	14	8	seawater metagenome	10/4/17	SRR6130873	SRS2566303	4_0312_3_75	13-Mar-12	40981	USA: California	34.2968 N 119.8845 W	primer replicate = V12	V12	CTD rosette	size fractionated (0.2-1.2 µm)	PRJNA412105	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	ILLUMINA	SRP118880	seawater	aerobe
SRR6130894	0	AMPLICON	598	SAMN07732744	SRX3243302	PCR	METAGENOMIC	4_0812_4S	4_0	10/4/17	21	12	seawater metagenome	10/4/17	SRR6130894	SRS2566281	4_0812_4S	16-Aug-12	41137	USA: California	34.2502 N 119.9063 W	primer replicate = V12	V12	CTD rosette	size fractionated (0.2-1.2 µm)	PRJNA412105	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	ILLUMINA	SRP118880	seawater	aerobe
SRR6130895	0	AMPLICON	598	SAMN07732745	SRX3243301	PCR	METAGENOMIC	4_0812_6S	4_0	10/4/17	22	13	seawater metagenome	10/4/17	SRR6130895	SRS2566280	4_0812_6S	16-Aug-12	41137	USA: California	34.1568 N 119.9502 W	primer replicate = V12	V12	CTD rosette	size fractionated (0.2-1.2 µm)	PRJNA412105	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	ILLUMINA	SRP118880	seawater	aerobe
SRR6130896	0	AMPLICON	598	SAMN07732740	SRX3243300	PCR	METAGENOMIC	4_0712_6S	4_0	10/4/17	18	11	seawater metagenome	10/4/17	SRR6130896	SRS2566278	4_0712_6S	26-Jul-12	41116	USA: California	34.1568 N 119.9502 W	primer replicate = V12	V12	CTD rosette	size fractionated (0.2-1.2 µm)	PRJNA412105	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	ILLUMINA	SRP118880	seawater	aerobe
SRR6130897	0	AMPLICON	598	SAMN07732741	SRX3243299	PCR	METAGENOMIC	4_0714_4S	4_0	10/4/17	21	12	seawater metagenome	10/4/17	SRR6130897	SRS2566279	4_0714_4S	15-Jul-14	41835	USA: California	34.2502 N 119.9063 W	primer replicate = V12	V12	CTD rosette	size fractionated (0.2-1.2 µm)	PRJNA412105	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	ILLUMINA	SRP118880	seawater	aerobe
SRR6130898	0	AMPLICON	598	SAMN07732742	SRX3243298	PCR	METAGENOMIC	4_0812_2S	4_0	10/4/17	26	15	seawater metagenome	10/4/17	SRR6130898	SRS2566277	4_0812_2S	16-Aug-12	41137	USA: California	34.3435 N 119.8627 W	primer replicate = V12	V12	CTD rosette	size fractionated (0.2-1.2 µm)	PRJNA412105	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	ILLUMINA	SRP118880	seawater	aerobe
SRR6130899	-75	AMPLICON	598	SAMN07732743	SRX3243297	PCR	METAGENOMIC	4_0812_4_75	4_0	10/4/17	29	17	seawater metagenome	10/4/17	SRR6130899	SRS2566275	4_0812_4_75	16-Aug-12	41137	USA: California	34.2502 N 119.9063 W	primer replicate = V12	V12	CTD rosette	size fractionated (0.2-1.2 µm)	PRJNA412105	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	ILLUMINA	SRP118880	seawater	aerobe
SRR6130900	0	AMPLICON	598	SAMN07732736	SRX3243296	PCR	METAGENOMIC	4_0614_4S	4_0	10/4/17	23	13	seawater metagenome	10/4/17	SRR6130900	SRS2566274	4_0614_4S	12-Jun-14	41802	USA: California	34.2502 N 119.9063 W	primer replicate = V12	V12	CTD rosette	size fractionated (0.2-1.2 µm)	PRJNA412105	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	ILLUMINA	SRP118880	seawater	aerobe
SRR6130901	0	AMPLICON	598	SAMN07732737	SRX3243295	PCR	METAGENOMIC	4_0712_2S	4_0	10/4/17	21	12	seawater metagenome	10/4/17	SRR6130901	SRS2566276	4_0712_2S	26-Jul-12	41116	USA: California	34.3435 N 119.8627 W	primer replicate = V12	V12	CTD rosette	size fractionated (0.2-1.2 µm)	PRJNA412105	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	ILLUMINA	SRP118880	seawater	aerobe
SRR6130902	-75	AMPLICON	598	SAMN07732738	SRX3243294	PCR	METAGENOMIC	4_0712_4_75	4_0	10/4/17	34	20	seawater metagenome	10/4/17	SRR6130902	SRS2566273	4_0712_4_75	26-Jul-12	41116	USA: California	34.2502 N 119.9063 W	primer replicate = V12	V12	CTD rosette	size fractionated (0.2-1.2 µm)	PRJNA412105	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	ILLUMINA	SRP118880	seawater	aerobe
