	term	odif	pvals	num_enriched_exps	num_total_exps
LOWER IN control	LOWER IN control	-0.8511218920557914	0.0009990009990009652	43	188
crohn's disease	crohn's disease	-0.6731352334748332	0.0009990009990009652	10	13
antibiotic	antibiotic	-0.6306852637962402	0.0009990009990009652	10	17
formula fed	formula fed	-0.5848999393571863	0.0009990009990009652	2	3
LOWER IN breast fed	LOWER IN breast fed	-0.5785324439053973	0.0009990009990009652	2	3
sweden	sweden	-0.5779260157671315	0.0009990009990009652	7	15
infant	infant	-0.5770163735597331	0.0009990009990009652	23	29
under-1-year-old human stage	under-1-year-old human stage	-0.5718617343844754	0.0009990009990009652	9	20
6-month-old human stage	6-month-old human stage	-0.5682231655548817	0.0009990009990009652	3	4
colitis	colitis	-0.5548817465130381	0.0009990009990009652	2	22
rural community	rural community	0.6434202546998179	0.0009990009990009652	10	12
age 20 months *	age 20 months *	0.6500909642207399	0.0009990009990009652	1	1
chimpanzee	chimpanzee	0.6576713159490601	0.0009990009990009652	2	3
LOWER IN neonate *	LOWER IN neonate *	0.6834445118253487	0.0009990009990009652	1	1
cron diet *	cron diet *	0.698605215281989	0.0009990009990009652	1	1
small village	small village	0.7058823529411764	0.0009990009990009652	3	3
LOWER IN ulcerative colitis	LOWER IN ulcerative colitis	0.7261976955730747	0.0009990009990009652	5	12
LOWER IN acute pancreatitis *	LOWER IN acute pancreatitis *	0.7644026682838084	0.0009990009990009652	1	1
LOWER IN pancreatitis *	LOWER IN pancreatitis *	0.7644026682838084	0.0009990009990009652	1	1
LOWER IN crohn's disease	LOWER IN crohn's disease	0.7719830200121285	0.0009990009990009652	8	13
