#SampleID	Assay_Type	AvgSpotLen	BioProject	BioSample	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	ENA_FIRST_PUBLIC	ENA_LAST_UPDATE	Experiment	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Library_Name	LoadDate	MBases	MBytes	Organism	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	age	age_units	body_habitat	body_product	body_site	collection_timestamp	dna_extracted	geo_loc_name	geography	host_age	host_age_month	host_age_years	host_common_name	host_gravidity	host_head_width_mm	host_length_mm	host_scientific_name	host_sex	host_state	host_subject_id	host_taxid	host_tot_mass_g	host_weight	latitude	loc_rad_geiger_gamma_usv_per_h	loc_rad_log	location	log_loc_rad_geiger_gamma_usv_per_h	longitude	mapfile	physical_specimen_location	physical_specimen_remaining	replicate	sample_type	sex	treatment	weight_units	loc2
ERR2722425	OTHER	251	PRJEB28050	SAMEA4813597	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	8/3/18	8/3/18	ERX2736196	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	11844.vole.129	8/4/18	12	7	skin metagenome	ILLUMINA	8/4/18	ERR2722425	ERS2633497	ERP110215	qiita_sid_11844:11844.vole.129	NA	months	NA	NA	NA	5/29/16	TRUE	Chernobyl Nuclear Power Plant Exclusion Zone	Yampil	2~5	2~5	NA	Bank vole	yes	13.18	NA	Myodes glareolus	female	ad	NA	447135	31.48	31.48	51.20469	0.241438	NA	CEZ	NA	30.172673	SraRunTable.txt	"NA (prev. University of Oulu, Department of Ecology and Genetics)"	FALSE	CL2	skin	female	CL	g	inside CEZ
ERR2722426	OTHER	251	PRJEB28050	SAMEA4813598	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	8/3/18	8/3/18	ERX2736197	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	11844.vole.130	8/4/18	15	9	skin metagenome	ILLUMINA	8/4/18	ERR2722426	ERS2633498	ERP110215	qiita_sid_11844:11844.vole.130	NA	months	NA	NA	NA	5/29/16	TRUE	Chernobyl Nuclear Power Plant Exclusion Zone	Yampil	10	10	NA	Bank vole	no	13.86	NA	Myodes glareolus	female	ad2	NA	447135	26.99	26.99	51.20469	0.241438	NA	CEZ	NA	30.172673	SraRunTable.txt	"NA (prev. University of Oulu, Department of Ecology and Genetics)"	FALSE	CL2	skin	female	CL	g	inside CEZ
ERR2722427	OTHER	251	PRJEB28050	SAMEA4813599	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	8/3/18	8/3/18	ERX2736198	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	11844.vole.132	8/4/18	27	17	skin metagenome	ILLUMINA	8/4/18	ERR2722427	ERS2633499	ERP110215	qiita_sid_11844:11844.vole.132	NA	months	NA	NA	NA	5/29/16	TRUE	Chernobyl Nuclear Power Plant Exclusion Zone	RedForest	2~5	2~5	NA	Bank vole	no	12.43	NA	Myodes glareolus	male	ad	NA	447135	19.46	19.46	51.390412	12.854	NA	CEZ	NA	30.072309	SraRunTable.txt	"NA (prev. University of Oulu, Department of Ecology and Genetics)"	FALSE	CH1	skin	male	CH	g	inside CEZ
ERR2722428	OTHER	251	PRJEB28050	SAMEA4813600	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	8/3/18	8/3/18	ERX2736199	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	11844.vole.133	8/4/18	29	17	skin metagenome	ILLUMINA	8/4/18	ERR2722428	ERS2633500	ERP110215	qiita_sid_11844:11844.vole.133	NA	months	NA	NA	NA	5/29/16	TRUE	Chernobyl Nuclear Power Plant Exclusion Zone	Chistogal	10	10	NA	Bank vole	no	13.87	NA	Myodes glareolus	male	ad2	NA	447135	26.88	26.88	51.384119	35.05375	NA	CEZ	NA	30.035632	SraRunTable.txt	"NA (prev. University of Oulu, Department of Ecology and Genetics)"	FALSE	CH1	skin	male	CH	g	inside CEZ
ERR2722429	OTHER	251	PRJEB28050	SAMEA4813601	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	8/3/18	8/3/18	ERX2736200	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	11844.vole.134	8/4/18	13	8	skin metagenome	ILLUMINA	8/4/18	ERR2722429	ERS2633501	ERP110215	qiita_sid_11844:11844.vole.134	NA	months	NA	NA	NA	5/29/16	TRUE	Chernobyl Nuclear Power Plant Exclusion Zone	Forestry	2~5	2~5	NA	Bank vole	no	13.17	NA	Myodes glareolus	male	ad	NA	447135	22.41	22.41	51.382881	26.606875	NA	CEZ	NA	30.001564	SraRunTable.txt	"NA (prev. University of Oulu, Department of Ecology and Genetics)"	FALSE	CH1	skin	male	CH	g	inside CEZ
ERR2722430	OTHER	251	PRJEB28050	SAMEA4813602	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	8/3/18	8/3/18	ERX2736201	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	11844.vole.135	8/4/18	19	12	skin metagenome	ILLUMINA	8/4/18	ERR2722430	ERS2633502	ERP110215	qiita_sid_11844:11844.vole.135	NA	months	NA	NA	NA	5/29/16	TRUE	Chernobyl Nuclear Power Plant Exclusion Zone	Forestry	2~5	2~5	NA	Bank vole	no	13.15	NA	Myodes glareolus	female	ad	NA	447135	25.32	25.32	51.382881	26.606875	NA	CEZ	NA	30.001564	SraRunTable.txt	"NA (prev. University of Oulu, Department of Ecology and Genetics)"	FALSE	CH1	skin	female	CH	g	inside CEZ
ERR2722431	OTHER	251	PRJEB28050	SAMEA4813603	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	8/3/18	8/3/18	ERX2736202	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	11844.vole.137	8/4/18	23	14	skin metagenome	ILLUMINA	8/4/18	ERR2722431	ERS2633503	ERP110215	qiita_sid_11844:11844.vole.137	NA	months	NA	NA	NA	5/29/16	TRUE	Chernobyl Nuclear Power Plant Exclusion Zone	Chistogal	2~5	2~5	NA	Bank vole	no	12.97	NA	Myodes glareolus	male	ad	NA	447135	25.29	25.29	51.38096	23.82125	NA	CEZ	NA	30.02734	SraRunTable.txt	"NA (prev. University of Oulu, Department of Ecology and Genetics)"	FALSE	CH1	skin	male	CH	g	inside CEZ
ERR2722432	OTHER	251	PRJEB28050	SAMEA4813604	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	8/3/18	8/3/18	ERX2736203	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	11844.vole.138	8/4/18	12	7	skin metagenome	ILLUMINA	8/4/18	ERR2722432	ERS2633504	ERP110215	qiita_sid_11844:11844.vole.138	NA	months	NA	NA	NA	5/29/16	TRUE	Chernobyl Nuclear Power Plant Exclusion Zone	Chistogal	1	1	NA	Bank vole	no	11.54	NA	Myodes glareolus	male	juv	NA	447135	21.7	21.7	51.384119	35.05375	NA	CEZ	NA	30.035632	SraRunTable.txt	"NA (prev. University of Oulu, Department of Ecology and Genetics)"	FALSE	CH1	skin	male	CH	g	inside CEZ
ERR2722433	OTHER	251	PRJEB28050	SAMEA4813605	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	8/3/18	8/3/18	ERX2736204	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	11844.vole.139	8/4/18	24	14	skin metagenome	ILLUMINA	8/4/18	ERR2722433	ERS2633505	ERP110215	qiita_sid_11844:11844.vole.139	NA	months	NA	NA	NA	5/29/16	TRUE	Chernobyl Nuclear Power Plant Exclusion Zone	Chistogal	2~5	2~5	NA	Bank vole	no	12.58	NA	Myodes glareolus	female	ad	NA	447135	18.48	18.48	51.384119	35.05375	NA	CEZ	NA	30.035632	SraRunTable.txt	"NA (prev. University of Oulu, Department of Ecology and Genetics)"	FALSE	CH1	skin	female	CH	g	inside CEZ
ERR2722434	OTHER	251	PRJEB28050	SAMEA4813606	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	8/3/18	8/3/18	ERX2736205	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	11844.vole.14	8/4/18	12	7	skin metagenome	ILLUMINA	8/4/18	ERR2722434	ERS2633506	ERP110215	qiita_sid_11844:11844.vole.14	NA	months	NA	NA	NA	5/26/16	TRUE	Chernobyl Nuclear Power Plant Exclusion Zone	Rosoha	2~5	2~5	NA	Bank vole	no	13.06	NA	Myodes glareolus	male	ad	NA	447135	28.74	28.74	51.172432	0.31675	NA	CEZ	NA	30.045733	SraRunTable.txt	"NA (prev. University of Oulu, Department of Ecology and Genetics)"	FALSE	CL1	skin	male	CL	g	inside CEZ
