#SampleID	AvgSpotLen_l	BioSample_s	Dust_origin_s	Experiment_s	Library_Name_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	collection_date_s	geo_loc_name_s	samp_collect_device_s	Assay_Type_s	BioProject_s	BioSampleModel_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	LoadDate_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	isolation_source_s	lat_lon_s
SRR5247666	600	SAMN06130458	misssing	SRX2553877	28-Mar-15	25	16	SRR5247666	SRS1971563	28-Mar-15	3/28/15	Israel: Rehovot	"High Volume Sampler Ecotech, model: HiVol 3000, PM10 inlet"	AMPLICON	PRJNA356963	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	2/12/17	dust metagenome	ILLUMINA	2/18/17	SRP099310	Dust	31.9070 N 34.8102 E
SRR5247667	600	SAMN06130457	North Africa	SRX2553878	27-Mar-15	54	36	SRR5247667	SRS1971564	27-Mar-15	3/27/15	Israel: Rehovot	"High Volume Sampler Ecotech, model: HiVol 3000, PM10 inlet"	AMPLICON	PRJNA356963	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	2/12/17	dust metagenome	ILLUMINA	2/18/17	SRP099310	Dust	31.9070 N 34.8102 E
SRR5247668	600	SAMN06130456	Ambient	SRX2553879	22-Mar-15	33	22	SRR5247668	SRS1971565	22-Mar-15	3/22/15	Israel: Rehovot	"High Volume Sampler Ecotech, model: HiVol 3000, PM10 inlet"	AMPLICON	PRJNA356963	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	2/12/17	dust metagenome	ILLUMINA	2/18/17	SRP099310	Dust	31.9070 N 34.8102 E
SRR5247669	600	SAMN06130455	Ambient	SRX2553880	15-Mar-15	48	32	SRR5247669	SRS1971566	15-Mar-15	3/15/15	Israel: Rehovot	"High Volume Sampler Ecotech, model: HiVol 3000, PM10 inlet"	AMPLICON	PRJNA356963	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	2/12/17	dust metagenome	ILLUMINA	2/18/17	SRP099310	Dust	31.9070 N 34.8102 E
SRR5247670	600	SAMN06130454	Ambient	SRX2553881	12-Mar-15	53	36	SRR5247670	SRS1971567	12-Mar-15	3/12/15	Israel: Rehovot	"High Volume Sampler Ecotech, model: HiVol 3000, PM10 inlet"	AMPLICON	PRJNA356963	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	2/12/17	dust metagenome	ILLUMINA	2/18/17	SRP099310	Dust	31.9070 N 34.8102 E
SRR5247671	600	SAMN06130453	misssing	SRX2553882	10-Mar-15	63	42	SRR5247671	SRS1971568	10-Mar-15	3/10/15	Israel: Rehovot	"High Volume Sampler Ecotech, model: HiVol 3000, PM10 inlet"	AMPLICON	PRJNA356963	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	2/12/17	dust metagenome	ILLUMINA	2/18/17	SRP099310	Dust	31.9070 N 34.8102 E
SRR5247672	600	SAMN06130452	North Africa	SRX2553883	8-Mar-15	50	34	SRR5247672	SRS1971569	8-Mar-15	3/8/15	Israel: Rehovot	"High Volume Sampler Ecotech, model: HiVol 3000, PM10 inlet"	AMPLICON	PRJNA356963	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	2/12/17	dust metagenome	ILLUMINA	2/18/17	SRP099310	Dust	31.9070 N 34.8102 E
SRR5247673	600	SAMN06130451	North Africa	SRX2553884	1-Mar-15	58	38	SRR5247673	SRS1971570	1-Mar-15	3/1/15	Israel: Rehovot	"High Volume Sampler Ecotech, model: HiVol 3000, PM10 inlet"	AMPLICON	PRJNA356963	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	2/12/17	dust metagenome	ILLUMINA	2/18/17	SRP099310	Dust	31.9070 N 34.8102 E
SRR5247674	600	SAMN06130450	misssing	SRX2553885	24-Feb-15	48	32	SRR5247674	SRS1971571	24-Feb-15	2/24/15	Israel: Rehovot	"High Volume Sampler Ecotech, model: HiVol 3000, PM10 inlet"	AMPLICON	PRJNA356963	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	2/12/17	dust metagenome	ILLUMINA	2/18/17	SRP099310	Dust	31.9070 N 34.8102 E
SRR5247675	600	SAMN06130449	Ambient	SRX2553886	22-Feb-15	63	42	SRR5247675	SRS1971572	22-Feb-15	2/22/15	Israel: Rehovot	"High Volume Sampler Ecotech, model: HiVol 3000, PM10 inlet"	AMPLICON	PRJNA356963	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	2/12/17	dust metagenome	ILLUMINA	2/18/17	SRP099310	Dust	31.9070 N 34.8102 E
SRR5247676	600	SAMN06130448	Ambient	SRX2553887	16-Feb-15	39	26	SRR5247676	SRS1971573	16-Feb-15	2/16/15	Israel: Rehovot	"High Volume Sampler Ecotech, model: HiVol 3000, PM10 inlet"	AMPLICON	PRJNA356963	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	2/12/17	dust metagenome	ILLUMINA	2/18/17	SRP099310	Dust	31.9070 N 34.8102 E
SRR5247677	600	SAMN06130447	misssing	SRX2553888	9-Feb-15	43	28	SRR5247677	SRS1971574	9-Feb-15	2/9/15	Israel: Rehovot	"High Volume Sampler Ecotech, model: HiVol 3000, PM10 inlet"	AMPLICON	PRJNA356963	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	2/12/17	dust metagenome	ILLUMINA	2/18/17	SRP099310	Dust	31.9070 N 34.8102 E
SRR5247678	600	SAMN06130446	misssing	SRX2553889	6-Feb-15	49	32	SRR5247678	SRS1971575	6-Feb-15	2/6/15	Israel: Rehovot	"High Volume Sampler Ecotech, model: HiVol 3000, PM10 inlet"	AMPLICON	PRJNA356963	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	2/12/17	dust metagenome	ILLUMINA	2/18/17	SRP099310	Dust	31.9070 N 34.8102 E
SRR5247679	600	SAMN06130445	misssing	SRX2553890	4-Feb-15	45	30	SRR5247679	SRS1971576	4-Feb-15	2/4/15	Israel: Rehovot	"High Volume Sampler Ecotech, model: HiVol 3000, PM10 inlet"	AMPLICON	PRJNA356963	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	2/12/17	dust metagenome	ILLUMINA	2/18/17	SRP099310	Dust	31.9070 N 34.8102 E
SRR5247680	600	SAMN06130444	North Africa	SRX2553891	3-Feb-15	28	19	SRR5247680	SRS1971577	3-Feb-15	2/3/15	Israel: Rehovot	"High Volume Sampler Ecotech, model: HiVol 3000, PM10 inlet"	AMPLICON	PRJNA356963	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	2/12/17	dust metagenome	ILLUMINA	2/18/17	SRP099310	Dust	31.9070 N 34.8102 E
SRR5247681	610	SAMN06130443	Ambient	SRX2553892	11-Mar-14	38	27	SRR5247681	SRS1971578	11-Mar-14	3/11/14	Israel: Rehovot	"High Volume Sampler Ecotech, model: HiVol 3000, PM10 inlet"	AMPLICON	PRJNA356963	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	2/12/17	dust metagenome	ILLUMINA	2/18/17	SRP099310	Dust	31.9070 N 34.8102 E
SRR5247682	610	SAMN06130442	Ambient	SRX2553893	10-Mar-14	38	28	SRR5247682	SRS1971579	10-Mar-14	3/10/14	Israel: Rehovot	"High Volume Sampler Ecotech, model: HiVol 3000, PM10 inlet"	AMPLICON	PRJNA356963	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	2/12/17	dust metagenome	ILLUMINA	2/18/17	SRP099310	Dust	31.9070 N 34.8102 E
SRR5247683	610	SAMN06130441	misssing	SRX2553894	6-Mar-14	35	25	SRR5247683	SRS1971580	6-Mar-14	3/6/14	Israel: Rehovot	"High Volume Sampler Ecotech, model: HiVol 3000, PM10 inlet"	AMPLICON	PRJNA356963	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	2/12/17	dust metagenome	ILLUMINA	2/18/17	SRP099310	Dust	31.9070 N 34.8102 E
SRR5247684	610	SAMN06130440	misssing	SRX2553895	5-Mar-14	43	31	SRR5247684	SRS1971581	5-Mar-14	3/5/14	Israel: Rehovot	"High Volume Sampler Ecotech, model: HiVol 3000, PM10 inlet"	AMPLICON	PRJNA356963	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	2/12/17	dust metagenome	ILLUMINA	2/18/17	SRP099310	Dust	31.9070 N 34.8102 E
SRR5247685	610	SAMN06130439	Ambient	SRX2553896	26-Feb-14	35	25	SRR5247685	SRS1971582	26-Feb-14	2/26/14	Israel: Rehovot	"High Volume Sampler Ecotech, model: HiVol 3000, PM10 inlet"	AMPLICON	PRJNA356963	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	2/12/17	dust metagenome	ILLUMINA	2/18/17	SRP099310	Dust	31.9070 N 34.8102 E
SRR5247686	610	SAMN06130438	North Africa	SRX2553897	23-Feb-14	31	23	SRR5247686	SRS1971583	23-Feb-14	2/23/14	Israel: Rehovot	"High Volume Sampler Ecotech, model: HiVol 3000, PM10 inlet"	AMPLICON	PRJNA356963	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	2/12/17	dust metagenome	ILLUMINA	2/18/17	SRP099310	Dust	31.9070 N 34.8102 E
SRR5247687	610	SAMN06130437	Ambient	SRX2553898	19-Feb-14	37	27	SRR5247687	SRS1971584	19-Feb-14	2/19/14	Israel: Rehovot	"High Volume Sampler Ecotech, model: HiVol 3000, PM10 inlet"	AMPLICON	PRJNA356963	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	2/12/17	dust metagenome	ILLUMINA	2/18/17	SRP099310	Dust	31.9070 N 34.8102 E
SRR5247688	600	SAMN06130429	North Africa	SRX2553899	11-Feb-15	38	25	SRR5247688	SRS1971585	11-Feb-15	2/11/15	Israel: Rehovot	"High Volume Sampler Ecotech, model: HiVol 3000, PM10 inlet"	AMPLICON	PRJNA356963	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	2/12/17	dust metagenome	ILLUMINA	2/18/17	SRP099310	Dust	31.9070 N 34.8102 E
SRR5247689	600	SAMN06130428	North Africa	SRX2553900	10-Feb-15	38	26	SRR5247689	SRS1971586	10-Feb-15	2/10/15	Israel: Rehovot	"High Volume Sampler Ecotech, model: HiVol 3000, PM10 inlet"	AMPLICON	PRJNA356963	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	2/12/17	dust metagenome	ILLUMINA	2/18/17	SRP099310	Dust	31.9070 N 34.8102 E
SRR5247690	610	SAMN06130427	North Africa	SRX2553901	3-Mar-14	35	26	SRR5247690	SRS1971587	3-Mar-14	3/3/14	Israel: Rehovot	"High Volume Sampler Ecotech, model: HiVol 3000, PM10 inlet"	AMPLICON	PRJNA356963	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	2/12/17	dust metagenome	ILLUMINA	2/18/17	SRP099310	Dust	31.9070 N 34.8102 E
SRR5247691	602	SAMN06130425	Syria	SRX2553902	10-Sep-15	46	29	SRR5247691	SRS1971588	10-Sep-15	9/10/15	Israel: Reovot	"High Volume Sampler Ecotech, model: HiVol 3000, PM10 inlet"	AMPLICON	PRJNA356963	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	2/12/17	dust metagenome	ILLUMINA	2/18/17	SRP099310	Dust	31.9070 N 34.8102 E
SRR5247692	602	SAMN06130424	Syria	SRX2553903	9-Sep-15	45	29	SRR5247692	SRS1971589	9-Sep-15	9/9/15	Israel: Rehovot	"High Volume Sampler Ecotech, model: HiVol 3000, PM10 inlet"	AMPLICON	PRJNA356963	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	2/12/17	dust metagenome	ILLUMINA	2/18/17	SRP099310	Dust	31.9070 N 34.8102 E
